28603 0 626178	Visualizing web site comparisons.
3999 1 26491	S. Jerrold Kaplan
5149 1 41288	Mohamed A. Sharaf
3340 1 20130	Guihua Sun
29660 3 851	layered
29828 3 1026	centric
26279 0 555193	A Model of Data Distribution Based on Texture Analysis.
11090 1 260557	Stefan Grufman
26062 0 554790	AGILE: Adaptive Indexing for Context-Aware Information Filters.
28059 0 597067	A Domain-theoretic Approach to Integrating Functional and Logic Database Languages.
33416 3 5895	drive
3693 1 20782	Jian Hu
23627 0 503778	On the Memory Requirements of XPath Evaluation over XML Streams.
30684 3 1975	length
2490 1 18214	Monaldo Mastrolilli
19909 0 308770	Autonomous shaping: knowledge transfer in reinforcement learning.
9373 1 153286	Pascal Frossard
34531 3 7667	karl
5633 1 51149	Laks V. S. Lakshmanan
15978 0 12154	A Scalable Jointree Algorithm for Diagnosability.
24490 0 550947	Analyses of Multiple-Evidence Combinations for Retrieval Strategies.
27241 0 595673	Decision Tables: Scalable Classification Exploring RDBMS Capabilities.
3205 1 19896	Michael Glass
15688 0 11609	Mechanisms for Partial Information Elicitation: The Truth, but Not the Whole Truth.
20578 0 357315	Efficient Representation of Adhoc Constraints.
28166 0 597269	What is a "Good" Semantic or Meta Model?
23958 0 504419	Relaxing the Universal Relation Scheme Assumption.
31575 3 3047	videos
32317 3 4039	ensuring
31754 3 3273	deconstructing
786 1 13144	Wen Jun Yin
1862 1 16899	Klaus-Peter Gapp
5937 1 61298	Chuang Wang
6853 1 86203	Anja Theobald
34353 3 7367	freedom
35559 3 9529	rush
13447 1 421326	Edwin B. Parker
20947 0 358288	Text Plans and World Plans in Natural Discourse.
28992 3 128	sequential
27630 0 596298	Experiences With an Object Manager for a Process-Centered Environment.
33406 3 5871	stripe
36187 3 10704	odp
4304 1 29835	Lotfi A. Zadeh
13615 1 421558	Simon Sweeney
4556 1 34037	Xuemin Lin
11525 1 261536	Johan Himberg
992 1 15278	John P. McDermott
15366 0 10621	Boosting Expert Ensembles for Rapid Concept Recall.
20942 0 358281	A Resolution Theorem for Algebraic Domains.
3846 1 23238	Zhi-Qiang Liu
3452 1 20345	Julien Vion
6695 1 84153	M. K. Azmoodeh
9878 1 171213	Lorna Kane
31666 3 3162	exactly
3790 1 22319	David Harel
668 1 12211	Christine Collet
8607 1 124339	Sumit Negi
358 1 6295	Li Yang
32045 3 3655	edited
4492 1 33765	Michele Missikoff
35740 3 9807	patzip
12186 1 316170	Bud Frawley
27617 0 596274	Query Processing for Multi-Attribute Clustered Records.
32212 3 3897	reconstitution
8491 1 120166	Daniel M. Dias
4655 1 34509	Hanxiong Chen
10908 1 260190	Ari Kahn
20340 0 356719	A ``Small Leakage'' Model for Diffusion Smoothing of Image Data.
16108 0 85675	Structured Document Handling - A Case For Integrating Databases and Information Retrieval.
24523 0 550994	Towards the use of Prosodic Information for Spoken Document Retrieval.
625 1 11352	Matthew L. Miller
2376 1 18003	S. Reed
20094 0 309343	Markov Chain Monte Carlo Sampling using Direct Search Optimization.
22346 0 436367	Integrating and Mining Distributed Customer Databases.
27838 0 596676	CachePortal II: Acceleration of Very Large Scale Data Center-Hosted Database-driven Web Applications.
28472 0 597769	A Relational Approach to Incrementally Extracting and Querying Structure in Unstructured Data.
15346 0 10567	Minimally Invasive Randomization fro Collecting Unbiased Preferences from Clickthrough Logs.
1305 1 15804	Brian C. Williams
10664 1 222659	Alexander Kogan
3385 1 20201	Wiebe van der Hoek
6647 1 83785	Michael Taylor
21878 0 360698	Distributed Monitoring of Hybrid Systems: A model-directed approach.
21918 0 360776	Quantified Constraint Satisfaction Problems: From Relaxations to Explanations.
16738 0 86817	Estimating corpus size via queries.
8198 1 114539	Brian Staats
14303 1 438565	Holger Meinecke
33819 3 6539	kbms
5256 1 43517	Tony Van Gestel
33163 3 5271	thermal
5498 1 49721	Louise A. Dennis
8289 1 114703	Di Yang
30125 3 1344	against
17777 0 275156	Approximating Aggregation Queries in Peer-to-Peer Networks.
11501 1 261446	Ying-Lin Chen
19885 0 308702	Leveraging the margin more carefully.
1057 1 15403	Maria Muslea
22797 0 437200	Using hierarchical clustering for learning theontologies used in recommendation systems.
31519 3 2965	negotiations
31206 3 2592	prefix
7608 1 113622	Javed A. Aslam
10825 1 243959	Elias Berelian
20848 0 358002	Possibilistic Temporal Reasoning based on Fuzzy Temporal Constraints.
26982 0 556437	Tinycasper: a privacy-preserving aggregate location monitoring system in wireless sensor networks.
13503 1 421407	Marden S. Neubert
36672 3 11423	bucky
1429 1 16065	Robert Whitehair
27372 0 595881	NAOS - Efficient and Modular Reactive Capabilities in an Object-Oriented Database System.
6403 1 77829	Esther Pacitti
35186 3 8919	zombies
35154 3 8847	forget
2774 1 18875	Kristen Brent Venable
13911 1 422589	J. Nations
31660 3 3153	chasing
34231 3 7160	synchronous
33025 3 5025	coupling
31295 3 2709	relaxation
18739 0 277154	KDA: A Knowledge-based Database Assistant.
4593 1 34199	Richard C. H. Connor
5084 1 39787	Ahmed Amrani
21944 0 360821	Tractable Temporal Reasoning.
8881 1 138129	Kristoffer H?gsbro Rose
28437 0 597719	Time Series Compressibility and Privacy.
24564 0 551044	A Textual Object Management System.
22524 0 436724	Rapid detection of significant spatial clusters.
14852 0 8850	Cooperation without Communication.
23490 0 500807	Group SAX: Extending the Notion of Contrast Sets to Time Series and Multimedia Data.
13802 1 422340	Marc Descollonges
22146 0 435961	An iterative hypothesis-testing strategy for pattern discovery.
15338 0 10534	Optimal Recommendation Sets: Covering Uncertainty over User Preferences.
27270 0 595714	The Query Optimizer in Tandem's new ServerWare SQL Product.
15479 0 10942	Reinforcement Learning with a Hierarchy of Abstract Models.
3783 1 22206	Franz J. Kurfess
24376 0 550760	Using asymmetric distributions to improve text classifier probability estimates.
25673 0 554085	STREAM: The Stanford Stream Data Manager.
9412 1 154841	K. C. Toth
7343 1 106955	Susan Dziadosz
7593 1 113332	Tao Cheng
20674 0 357583	Generating Causal Explanation from a Cardio-Vascular Simulation.
29622 3 810	lack
5314 1 45135	Kazunori Matsumoto
16844 0 116787	Applying Perceptual Grouping to Content-Based Image Retrieval: Building Images.
9421 1 154946	Shalom Tsur
31756 3 3275	envelopes
21586 0 359981	Recognition Using Semantic Constraints.
15707 0 11640	Multi-Label Learning by Instance Differentiation.
12889 1 366692	Eric Reiman
1216 1 15666	Daniel Baril
27402 0 595928	MARS: A System for Publishing XML from Mixed and Redundant Storage.
19714 0 308124	Using Optimal Dependency-Trees for Combinational Optimization.
37308 3 12517	subtype
13000 1 391156	Arthur Lim��re
12686 1 366339	Seth Hettich
22941 0 486594	Febrl - A Parallel Open Source Data Linkage System: http: //datamining.anu.edu.au/linkage.html.
28168 0 597272	Database Tuning: Principles, Experiments, and Troubleshooting Techniques.
37535 3 13148	establishment
16764 0 86878	Optimal proactive caching in peer-to-peer network: analysis and application.
36660 3 11405	interbase
28576 0 625970	Scaling personalized web search.
863 1 13932	Ninghui Li
7992 1 114229	Christoph Mangold
10312 1 180803	Ariel Fuxman
5303 1 44766	Yibei Ling
14401 1 451691	Robert Graham
15771 0 11760	Modeling Contextual Factors of Click Rates.
2601 1 18413	Attilio Giordana
15408 0 10751	SteppingStone: An Empirical and Analytical Evaluation.
13667 1 422130	C. Erwin
23382 0 500568	An Indiscernibility-Based Clustering Method with Iterative Refinement of Equivalence Relations.
32114 3 3757	creativity
1669 1 16526	Matthew Richardson
5541 1 50468	Taisuke Sato
36476 3 11136	eigenrank
7490 1 113190	Jignesh M. Patel
8779 1 131404	Nina Narodytska
15726 0 11673	ASKNet: Automated Semantic Knowledge Network.
3556 1 20527	Eli Upfal
5638 1 51252	Monica Marcus
16354 0 86138	NeT & CoT: translating relational schemas to XML schemas using semantic constraints.
17694 0 163048	Zerber: r-confidential indexing for distributed documents.
20102 0 309373	Learning to Generate Fast Signal Processing Implementations.
3054 1 19509	Astro Teller
22887 0 437367	Using ghost edges for classification in sparsely labeled networks.
23952 0 504412	Monotonic Aggregation in Deductive Databases.
28198 0 597318	Trust-Serv: A Lightweight Trust Negotiation Service.
30211 3 1438	tractability
11789 1 275057	Xi Shao
16540 0 86479	An Extensible Knowledge Base Management System for Supporting Rule-based Interoperability among Heterogeneous Systems.
15113 0 9827	RankCut - A Domain Independent Forward Pruning Method for Games.
13738 1 422225	Randolph Chung
23889 0 504299	Chasing Constrained Tuple-Generating Dependencies.
6825 1 86026	K. Bernhard Schiefer
19108 0 277869	Verifying and Mining Frequent Patterns from Large Windows over Data Streams.
18680 0 277009	Venn Sampling: A Novel Prediction Technique for Moving Objects.
31982 3 3572	durations
16688 0 86725	Finding dense and isolated submarkets in a sponsored search spending graph.
28133 0 597216	XMark: A Benchmark for XML Data Management.
34488 3 7578	incompleteness
15398 0 10706	Machine Rhythm.
17400 0 159271	Structure Learning of Probabilistic Relational Models from Incomplete Relational Data.
27497 0 596093	The Size of Projections of Relations Satisfying a Functional Dependency.
36974 3 11941	fg
21149 0 358850	On the Thresholds of Knowledge.
22452 0 436599	Sampling from large graphs.
20439 0 356983	Searching Game Trees in Parallel Using SSS.
12183 1 316163	Stephen C. Darden
28589 0 626095	Improvement of HITS-based algorithms on web documents.
19668 0 279037	Detecting Fractures in Classifier Performance.
16515 0 86439	HYKIS - An Information Retrieval System Based on a Hybrid Knowledge Base.
16390 0 86198	A Data Model for Supporting On-Line Analytical Processing.
23817 0 504112	Hierarchical Database Decomposition - A Technique for Database Concurrency Control.
35745 3 9818	autosplit
4108 1 27222	Gideon S. Mann
17168 0 157051	Modeling Documents as Mixtures of Persons for Expert Finding.
5370 1 47857	Masaya Nakayama
22712 0 437055	K-means clustering versus validation measures: a data distribution perspective.
33138 3 5219	hough
24505 0 550968	Measuring pseudo relevance feedback & CLIR.
145 1 2547	Gang Zhou
13542 1 421459	Michael A. S. Potts
4669 1 34555	Trystan Upstill
24511 0 550975	Effective collection metasearch in a hierarchical environment: global vs. localized retrieval performance.
26945 0 556387	An xml index advisor for DB2.
7784 1 113884	Alexandru Coman
2403 1 18042	Guozhu Dong
2603 1 18415	Pietro Laface
34758 3 8051	hopfield
13153 1 399473	David B. Wagner
22676 0 436999	Summarizing itemset patterns using probabilistic models.
34330 3 7320	primal
6015 1 62492	Manfred Glesner
8923 1 138687	Geoffrey Egnal
12810 1 366558	Christoper Hughes
8197 1 114538	Balaji Varadarajan
1318 1 15841	Solomon Eyal Shimony
16797 0 86958	Semantic verification in an online fact seeking environment.
37140 3 12196	fan
23572 0 501059	Providing Na?ve Bayesian Classifier-Based Private Recommendations on Partitioned Data.
15087 0 9739	Quantifyimg and Simulating the Behavior of Knowledge-Based Interpretation Systems.
22271 0 436208	Entropy-based Subspace Clustering for Mining Numerical Data.
36487 3 11148	personalizable
35971 3 10305	disorder
31767 3 3287	infinite
33978 3 6768	dom
4315 1 29987	Sushil Jajodia
34667 3 7898	tripod
14399 1 442938	Zhenjiang Lin
2895 1 19135	Paul W. Schermerhorn
12019 1 291421	Vikram Manikonda
28663 0 626578	GlobeDB: autonomic data replication for web applications.
29998 3 1209	frames
11579 1 261634	Paul Komarek
33444 3 5937	normalisation
6391 1 77799	Philippe Richard
27001 0 556466	CSV: visualizing and mining cohesive subgraphs.
945 1 15205	Domenico Lembo
19560 0 278709	Cluster Based Core Vector Machine.
11730 1 262014	Jerry Scripps
36078 3 10514	domisa
36118 3 10589	naturally
3387 1 20208	Yann Ollivier
19869 0 308652	State-based Classification of Finger Gestures from Electromyographic Signals.
28731 0 626912	Mapping-driven XML transformation.
13389 1 421237	Jaana Kristensen
9994 1 173318	Aloak Kapoor
7338 1 106808	Joe Mattis
13214 1 413456	Kyuhyung Lee
24572 0 551057	PageRank, HITS and a unified framework for link analysis.
36037 3 10425	interrelationship
4628 1 34450	Giorgio Ausiello
19248 0 278174	A Scalable Collaborative Filtering Framework Based on Co-Clustering.
34091 3 6923	idiots
18412 0 276433	Processing Hierarchical Queries in Heterogeneous Environment.
33484 3 5999	retrievals
6393 1 77801	Benjamin Nguyen
29517 3 692	eportal
19304 0 278275	Association Analysis with One Scan of Databases.
5116 1 40137	Tetsuya Yoshida
12111 1 308749	R. Paul
19040 0 277772	Adaptive Segmentation for Scientific Databases.
23372 0 500555	Next Generation Data Mining Tools: Power Laws and Self-similarity for Graphs, Streams and Traditional Data.
28049 0 597050	Integrity Constraint and Rule Maintenance in Temporal Deductive Knowledge Bases.
18270 0 276120	Compiling a Rule Database Program into a C/SQL Application.
18544 0 276718	Transaction Atomicity in the Presence of Network Partitions.
15124 0 9850	Local-Search Techniques for Boolean Combinations of Pseudo-Boolean Constraints.
25599 0 552640	Adaptive label-driven scaling for latent semantic indexing.
11958 1 283137	Purnamrita Sarkar
31383 3 2812	optimisation
36945 3 11908	intertask
29249 3 411	cognitive
25087 0 551906	Automatic Text Structuring and Retrieval: Experiments in Automatic Encyclopedia Searching.
2805 1 18930	Kunal Punera
32341 3 4069	hundreds
15335 0 10530	Direct Transfer of Learned Information Among Neural Networks.
37342 3 12593	grown
16495 0 86400	TEG: a hybrid approach to information extraction.
5846 1 57158	Atsushi Ohori
36756 3 11566	dbtg
19518 0 278644	Semantic Kernels for Text Classification Based on Topological Measures of Feature Similarity.
24454 0 550893	Learning a ranking from pairwise preferences.
32089 3 3717	resolutions
25213 0 552100	Text Compression Using Prediction.
19836 0 308528	Learning Active Classifiers.
30734 3 2037	posting
2761 1 18849	David S. Wishart
36534 3 11209	sparce
16952 0 118309	Self-Maintaining Camera Calibration Over Time.
29584 3 767	computing
16873 0 117169	Texture Features and Learning Similarity.
696 1 12446	Yinan Li
17261 0 158708	A Clustering Model Based on Matrix Approximation with Applications to Cluster System Log Files.
11263 1 260945	S. Raghuram
31667 3 3163	faster
31138 3 2518	cosine
1923 1 17012	David Fisher
16368 0 86161	Content-Based Retrieval of MP3 Music Objects.
29937 3 1144	penalty
18996 0 277703	Processing Diagnosis Queries: A Principled and Scalable Approach.
31013 3 2367	cursive
12695 1 366363	Hannah Blau
28890 3 21	state
2695 1 18699	Haruhiko Kojima
24845 0 551512	Relevance-Based Language Models.
2394 1 18029	Joann J. Ordille
14228 1 438408	Marc Friedenberg
21497 0 359725	Asymptotic Conditional Probability in Modal Logic: A Probabilistic Reconstruction of Nonmonotonic Logic.
23978 0 504454	Database Theory: Past and Future.
557 1 10299	Tong Zhang
20029 0 309147	Toward Optimal Active Learning through Sampling Estimation of Error Reduction.
30319 3 1555	pathology
10752 1 234269	Vasiliy Malakhov
14720 0 8421	Towards a Better Understanding of Bidirectional Search.
22520 0 436717	Development of Multi-Criteria Metrics for Evaluation of Data Mining Algorithms.
22506 0 436680	Discovering Frequent Episodes in Sequences.
20028 0 309146	Towards a Better Understanding of Memory-based Reasoning Systems.
27672 0 596384	Commutativity and its Role in the Processing of Linear Recursion.
15943 0 12090	Generating Application-Specific Benchmark Models for Complex Systems.
37672 3 13370	adjourn
24688 0 551248	Using Maps as a User Interface to a Digital Library.
29232 3 393	rigid
1330 1 15865	Dorin Marcu
5750 1 54170	Norman Matloff
32814 3 4749	mid
10768 1 236722	Sudhir Rao
21223 0 359025	Active Cost-Sensitive Learning.
28260 0 597439	PRTV: An Efficient Implementation for Large Relational Data Bases.
27253 0 595692	Operator Scheduling in a Data Stream Manager.
28499 0 625498	Learning search engine specific query transformations for question answering.
36163 3 10666	huffman
13257 1 421057	David R. Hanssen
850 1 13755	Uwe Heinkel
12170 1 316112	Yannet Interian
4512 1 33849	Alvaro A. A. Fernandes
3121 1 19665	Robert Brigham
9550 1 158461	Paolo Garza
17511 0 162666	Coupling of FDBS and WfMS for Integrating Database and Application Systems: Architecture, Complexity, Performance.
30036 3 1251	rationalizability
13113 1 398252	Evan Hoke
26143 0 554949	Experiments with B-Tree Reorganization.
26136 0 554939	MMDB Reload Algorithms.
2225 1 17614	Rajjan Shinghal
14501 0 7683	Explaining Qualitative Decision under Uncertainty by Argumentation.
21172 0 358915	Maintaining Coherent Perceptual Information Using Anchoring.
6148 1 70041	Yevgen Borodin
24739 0 551332	An automatic weighting scheme for collaborative filtering.
35017 3 8576	configuraton
24436 0 550871	An industrial-strength content-based music recommendation system.
5296 1 44422	P. Florath
12494 1 327728	Steve Webb
36475 3 11135	letting
5433 1 48829	Sang-Bum Kim
27348 0 595846	An Efficient Cost-Driven Index Selection Tool for Microsoft SQL Server.
9461 1 156356	Ilker Durusoy
15720 0 11663	Recognition of Hand Drawn Chemical Diagrams.
33581 3 6140	misclassification
12736 1 366437	Ted Mihalisin
37177 3 12272	terabytes
2882 1 19113	Vasile Rus
8122 1 114429	Claudia Bauzer Medeiros
19842 0 308554	Statistical and computational analysis of locality preserving projection.
4368 1 31757	Yinglian Xie
5364 1 47683	Ji Zhang
18862 0 277404	Theseos: A Query Engine for Traceability across Sovereign, Distributed RFID Databases.
15101 0 9776	Learning and Inferring Transportation Routines.
15718 0 11659	An Egalitarist Fusion of Incommensurable Ranked Belief Bases under Constraints.
23059 0 486836	Concise Representation of Frequent Patterns Based on Generalized Disjunction-Free Generators.
7093 1 95099	Dimitra Vista
26957 0 556407	Query efficiency in probabilistic XML models.
9512 1 157200	��lvaro R. Pereira Jr.
12128 1 315952	Li-Dong Cai
35144 3 8834	paraconsistency
3175 1 19801	Nobuhiro Yugami
36147 3 10639	rom
10054 1 173508	Steffen B?rm
28733 0 626915	Identifying ambiguous queries in web search.
17723 0 163091	Deleting index entries from compliance storage.
23326 0 500452	k-Anonymous Patterns.
2354 1 17907	Kate Larson
17899 0 275391	An Approach to Adaptive Memory Management in Data Stream Systems.
31613 3 3093	manipulators
33758 3 6429	evidences
16899 0 117522	Epipolar Geometry and Linear Subspace Methods: A New Approach to Weak Calibration.
16686 0 86717	Spam filtering for short messages.
31538 3 2993	cad
3015 1 19394	Bobby D. Bryant
20615 0 357403	Complexity Results about Nash Equilibria.
26429 0 555464	Efficient Processing of Joins on Set-valued Attributes.
32147 3 3804	performances
32021 3 3623	wanted
18198 0 275980	Efficient Algorithm for Projected Clustering.
11023 1 260409	Ding-Ying Chiu
11521 1 261505	Minh-Tam Le
7751 1 113840	Jin Jing
1201 1 15642	John L. Barron
21866 0 360674	A Logical Model of Nash Bargaining Solution.
25657 0 552719	Retrieval sensitivity under training using different measures.
26520 0 555647	Rewriting nested XML queries using nested views.
929 1 15157	Bruce G. Buchanan
8052 1 114333	Devanand Ravindran
7594 1 113333	Bill Howe
27400 0 595925	Equivalence and Mapping of Database Schemes.
35242 3 9031	musicologist
24362 0 550741	An interface to search human movements based on geographic and chronological metadata.
13958 1 422675	S. Weiner
15518 0 11058	It's Not My Default: The Complexity of Membership Problems in Restricted Propositional Default Logics.
9065 1 140899	Paul Bradley
33941 3 6710	osql
24275 0 536585	Summarizing Review Scores of "Unequal" Reviewers.
20205 0 309652	An empirical evaluation of deep architectures on problems with many factors of variation.
2039 1 17262	Steven L. Lytinen
1491 1 16199	Heng Chu
24249 0 536543	Efficient Multiclass Boosting Classification with Active Learning.
21119 0 358772	A Model of Decidable Introspective Reasoning with Quantifying-In.
33778 3 6468	subgroup
18064 0 275726	An Extensible Framework for Data Cleaning.
920 1 15144	Alexander Borgida
10468 1 196504	Y. Alp Aslandogan
31534 3 2985	projective
9167 1 149129	Won Yong Kim
12023 1 291939	Shigeoki Hirai
17765 0 275133	SEOF: An Adaptable Object Prefetch Policy for Object-Oriented Database Systems.
11188 1 260765	Ching Chang
813 1 13321	Joonsoo Bae
37556 3 13204	picsdesk
19929 0 308837	An Information-Theoretic Definition of Similarity.
27708 0 596434	GPX: Interactive Mining of Gene Expression Data.
2292 1 17770	Michail G. Lagoudakis
18868 0 277412	SpADe: On Shape-based Pattern Detection in Streaming Time Series.
5585 1 50737	Wolfgang Lindner
30160 3 1380	abduction
5681 1 52098	Xiangen Hu
34389 3 7429	assertional
22965 0 486642	Neighborhood Dependencies for Prediction.
7012 1 90954	Diego Milano
32411 3 4171	nero
12681 1 366329	Jaap Suermondt
4372 1 31803	Ravi Chandra Jammalamadaka
34719 3 7969	customizability
35856 3 10070	citeseerx
6602 1 82133	Peter J. Haas
27123 0 595487	FAD, a Powerful and Simple Database Language.
21187 0 358954	A Message Passing Algorithm for Plan Recognition.
31665 3 3161	calculus
11162 1 260695	Ji Jin
7107 1 95321	Adriana Mu?oz
10412 1 190190	Pankaj Mehra
10121 1 175525	Thomas Baby
25796 0 554308	Database Design: Methodologies, Tools, and Environments (Panel).
5704 1 52238	Alain Lehmann
27303 0 595763	Ambient Intelligence with the Ubiquitous Network, the Embedded Computer Devices and the Hidden Databases (abstract).
29698 3 890	linear
2762 1 18850	Alona Fyshe
5275 1 44019	Boris Konev
3377 1 20189	Christian Meilicke
2257 1 17700	Sangryoung Kim
29962 3 1169	leveraging
6943 1 88792	Harry E. Pople
33441 3 5933	reassignment
4717 1 34718	Osmar R. Za?ane
27455 0 596030	A Strategy for Decomposing Complex Queries in a Heterogeneous DDB.
12995 1 391144	Qiming Huang
12842 1 366622	David Locke
24118 0 536310	Feature Mining Paradigms for Scientific Data.
13452 1 421331	Gordon McAlpine
24518 0 550986	Efficient Construction of Large Test Collections.
16630 0 86617	A Performance Comparison of bitmap indexes.
34209 3 7130	pachinko
29421 3 592	video
27613 0 596265	Networked Data Management Design Points.
27145 0 595520	Fast Maintenance of Semantic Integrity Assertions Using Redundant Aggregate Data.
32462 3 4235	strings
13331 1 421153	Arvind Seth
14130 1 438229	Michael Blow
19298 0 278266	On Learning Asymmetric Dissimilarity Measures.
29945 3 1152	game
5030 1 38928	Paolo Torroni
7077 1 95015	Loreto Bravo
34956 3 8453	extrapolation
35634 3 9628	xproj
37138 3 12194	ram
7114 1 95381	Joan C. Bartlett
21983 0 360890	Concept Sampling: Towards Systematic Selection in Large-Scale Mixed Concepts in Machine Learning.
37763 3 13529	cosmic
23560 0 501013	A New Scheme on Privacy Preserving Association Rule Mining.
4326 1 30185	Amitabha Das
37679 3 13378	verifiers
26902 0 556325	Query answering techniques on uncertain and probabilistic data: tutorial summary.
25495 0 552503	Learning query intent from regularized click graphs.
7415 1 110161	Fang Wen
14573 0 7950	DR-Prolog: A System for Reasoning with Rules and Ontologies on the Semantic Web.
17940 0 275455	Divide and Conquer: A Basis for Augmenting a Conventional Query Optimizer with Multiple Query Proceesing Capabilities.
657 1 11945	Xiangyu Zhang
2891 1 19124	Carlos Vallesp��
6784 1 85858	Nelson Mendon?a Mattos
24268 0 536576	Harmonium Models for Semantic Video Representation and Classification.
36171 3 10678	searchable
2493 1 18221	Christopher J. Matheus
17639 0 162935	VAR-PAGE-LRU A Buffer Replacement Algorithm Supporting Different Page Sizes.
28410 0 597680	Deadline and QoS Aware Data Warehouse.
10200 1 175682	Jayendra Venkateswaran
15994 0 12187	Non-monotonic Temporal Logics that Facilitate Elaboration Tolerant Revision of Goals.
25655 0 552717	Multi-document summarization via sentence-level semantic analysis and symmetric matrix factorization.
4113 1 27255	Xuan Hieu Phan
